# DEAD-404 Perfios,greenhouse,perfios,
Pinterest,greenhouse,pinterest,
# DEAD-404 Portea Medical,greenhouse,portea,
Postman,greenhouse,postman,
# DEAD-404 Practo,greenhouse,practo,
# DEAD-404 Progcap,greenhouse,progcap,
project44,greenhouse,project44,
# DEAD-404 Purplle,greenhouse,purplle,logistics/commerce
# DEAD-404 Razorpay,greenhouse,razorpay,
# DEAD-404 Rivigo,greenhouse,rivigo,logistics/commerce
Roku,greenhouse,roku,
Rubrik,greenhouse,rubrik,
# DEAD-404 Salesken,greenhouse,salesken,
Sauce Labs,greenhouse,saucelabs,
# DEAD-404 Scaler,greenhouse,scaler,
SentinelOne,greenhouse,sentinellabs,
# DEAD-404 Setu,greenhouse,setu,
Sezzle,greenhouse,sezzle,
# DEAD-404 Shadowfax,greenhouse,shadowfax,logistics/commerce
Sigmoid,greenhouse,sigmoid,
# DEAD-404 Signzy,greenhouse,signzy,
# DEAD-404 Simplilearn,greenhouse,simplilearn,
# DEAD-404 Sprinklr,greenhouse,sprinklr,
# DEAD-404 Teachmint,greenhouse,teachmint,
Tide,greenhouse,tide,
# DEAD-404 Tiger Analytics,greenhouse,tigeranalytics,
# DEAD-404 Unacademy,greenhouse,unacademy,
# DEAD-404 Uniphore,greenhouse,uniphore,
# DEAD-404 upGrad,greenhouse,upgrad,
# DEAD-404 Vedantu,greenhouse,vedantu,
# DEAD-404 Vyapar,greenhouse,vyapar,
Waymo,greenhouse,waymo,
# DEAD-404 WebEngage,greenhouse,webengage,
# DEAD-404 Whatfix,greenhouse,whatfix,
# DEAD-404 Yubi (CredAvenue),greenhouse,yubi,
Zeta Global,greenhouse,zetaglobal,
# DEAD-404 Zivame,greenhouse,zivame,
# DEAD-404 Zowork,greenhouse,zowork,
#
# ===== LEVER =====
# DEAD-404 5Paisa Capital,lever,5paisa,
Acceldata,lever,acceldata,
# DEAD-404 Angel One,lever,angelone,
# DEAD-404 Apollo 24/7,lever,apollo247,
# DEAD-404 Aster DM Healthcare,lever,asterdm,
Binance,lever,binance,
# DEAD-404 Bizongo,lever,bizongo,logistics/commerce
# DEAD-404 BlackBuck,lever,blackbuck,logistics/commerce
# DEAD-404 Blowhorn,lever,blowhorn,logistics/commerce
# DEAD-404 Climes,lever,climes,
# DEAD-404 Country Delight,lever,countrydelight,
# DEAD-404 Coverfox,lever,coverfox,
CRED,lever,cred,
# DEAD-404 Cure.fit,lever,curefit,
# DEAD-404 Delhivery,lever,delhivery,logistics/commerce
Drivetrain,lever,drivetrain,
# DEAD-404 EaseMyTrip,lever,easemytrip,
# DEAD-404 Eat Club,lever,eatclub,
# DEAD-404 Edelweiss Financial Services,lever,edelweiss,
# DEAD-404 Eka Software,lever,eka,
# DEAD-404 Euler Motors,lever,eulermotors,
# DEAD-404 Exotel,lever,exotel,
# DEAD-404 Fashinza,lever,fashinza,
# DEAD-404 Fibe (EarlySalary),lever,earlysalary,
# DEAD-404 Groww,lever,growwapp,
# DEAD-404 Haptik,lever,haptik,
Hevo Data,lever,hevodata,
# DEAD-404 Housing.com,lever,housing,
# DEAD-404 Icertis,lever,icertis,
# DEAD-404 IIFL Finance,lever,iifl,
# DEAD-404 ixigo,lever,ixigo,
JumpCloud,lever,jumpcloud,
# DEAD-404 Keka HR,lever,keka,
# DEAD-404 Kissht,lever,kissht,
# DEAD-404 KreditBee,lever,kreditbee,
Level AI,lever,levelai,
# DEAD-404 Licious,lever,licious,
# DEAD-404 Log9 Materials,lever,log9materials,
# DEAD-404 MakeMyTrip,lever,makemytrip,
# DEAD-404 Medikabazaar,lever,medikabazaar,
Meesho,lever,meesho,logistics/commerce
Merkle Science,lever,merklescience,
Mindtickle,lever,mindtickle,
# DEAD-404 Moglix,lever,moglix,
# DEAD-404 MoneyTap,lever,moneytap,
# DEAD-404 Mswipe,lever,mswipe,
# DEAD-404 Ninjacart,lever,ninjacart,logistics/commerce
# DEAD-404 Niswey,lever,niswey,
# DEAD-404 NoBroker,lever,nobroker,
# DEAD-404 Ofbusiness,lever,ofbusiness,
# DEAD-404 Ola Electric,lever,olaelectric,
Onehouse,lever,Onehouse,
# DEAD-404 Paytm Money,lever,paytmmoney,
# DEAD-404 PharmEasy,lever,pharmeasy,
# DEAD-404 PhillipCapital India,lever,phillipcapital,
Porter,lever,porter,logistics/commerce
# DEAD-404 Pristyn Care,lever,pristyncare,
# DEAD-404 RateGain,lever,rategain,
# DEAD-404 RenewBuy,lever,renewbuy,
# DEAD-404 Samco Securities,lever,samco,
# DEAD-404 Shiprocket,lever,shiprocket,logistics/commerce
# DEAD-404 Spinny,lever,spinny,
# DEAD-404 Springworks,lever,springworks,
# DEAD-404 Square Yards,lever,squareyards,
# DEAD-404 Styli (Landmark Group),lever,styli,logistics/commerce
# DEAD-404 sumHR,lever,sumhr,
Tala,lever,tala,
# DEAD-404 Tata 1mg,lever,tata1mg,
# DEAD-404 Urban Company,lever,urbanclap,
# DEAD-404 Vymo,lever,vymo,
Warner Music Group,lever,wmg,
# DEAD-404 Yash Technologies,lever,yash-technologies,
# DEAD-404 Zenoti,lever,zenoti,
# DEAD-404 Zepto,lever,zepto,logistics/commerce
# DEAD-404 ZestMoney,lever,zestmoney,
# DEAD-404 Zetwerk,lever,zetwerk,
# DEAD-404 Zilingo India,lever,zilingo,
Zimperium,lever,zimperium,
#
# ===== ASHBY =====
# DEAD-404 Acko,ashby,acko,
# DEAD-404 Agnikul Cosmos,ashby,agnikul,
AiPrise,ashby,aiprise,
# DEAD-404 Airmeet,ashby,airmeet,
# DEAD-404 Analytics Quotient,ashby,analyticsquotient,
# DEAD-404 Apna,ashby,apna-com,
# DEAD-404 Artivatic Data Labs,ashby,artivatic,
# DEAD-404 Ather Energy,ashby,atherenergy,
# DEAD-404 Avaamo,ashby,avaamo,
# DEAD-404 Awfis,ashby,awfis,
Bespoke Labs,ashby,bespokelabs,
# DEAD-404 BetterPlace,ashby,betterplace,
Bidgely,ashby,bidgely-inc,
# DEAD-404 Bijak,ashby,bijak,
# DEAD-404 Blinkit,ashby,blinkit,logistics/commerce
# DEAD-404 boAt (Imagine Marketing),ashby,imaginemarketingltd,
Bounce,ashby,bounce,logistics/commerce
# DEAD-404 BRIDGEi2i Analytics,ashby,bridgei2i,
Broccoli AI,ashby,broccoli,
# DEAD-404 Capillary Technologies,ashby,capillary,
# DEAD-404 Cars24,ashby,cars24,
Cartesia,ashby,cartesia,
# DEAD-404 Classmate (ITC),ashby,itc-classmate,
# DEAD-404 CloudSEK,ashby,cloudsek,
# DEAD-404 Crayon Data,ashby,crayondata,
# DEAD-404 Credgenics,ashby,credgenics,
# DEAD-404 Cuemath,ashby,cuemath,
d-Matrix,ashby,d-Matrix,
# DEAD-404 DealShare,ashby,dealshare,logistics/commerce
# DEAD-404 DeHaat,ashby,dehaat,
# DEAD-404 Digit Insurance,ashby,digit,
# DEAD-404 Droom,ashby,droom,
# DEAD-404 Eruditus,ashby,eruditus,
# DEAD-404 Evalueserve,ashby,evalueserve,
# DEAD-404 EXL Service,ashby,exlservice,
# DEAD-404 Facilio,ashby,facilio,
# DEAD-404 Fi Money,ashby,epifi,
# DEAD-404 Finarkein Analytics,ashby,finarkein,
# DEAD-404 FirstCry,ashby,firstcry,logistics/commerce
# DEAD-404 Fisdom,ashby,fisdom,
Flagright,ashby,flagright.com,
# DEAD-404 GlobalBees,ashby,globalbees,
# DEAD-404 Gnani AI,ashby,gnani,
# DEAD-404 Gramener,ashby,gramener,
# DEAD-404 Greenpanel,ashby,greenpanel,
# DEAD-404 INDmoney,ashby,indmoney,
# DEAD-404 Innoviti,ashby,innoviti,
# DEAD-404 Intellect Design Arena,ashby,intellectdesign,
# DEAD-404 Jar,ashby,jar-app,
# DEAD-404 Josh (DailyHunt),ashby,josh,
# DEAD-404 Kaleyra,ashby,kaleyra,
# DEAD-404 Karza Technologies,ashby,karza,
# DEAD-404 Khatabook,ashby,khatabook,
Kong,ashby,kong,
# DEAD-404 Kredivo,ashby,kredivo,
# DEAD-404 Krutrim,ashby,krutrim,
# DEAD-404 Kutumb,ashby,kutumb,
# DEAD-404 Leegality,ashby,leegality,
# DEAD-404 Lendingkart,ashby,lendingkart,
LG Ad Solutions,ashby,lgads,
# DEAD-404 Magicpin,ashby,magicpin,logistics/commerce
# DEAD-404 Manthan,ashby,manthan,
# DEAD-404 MathCo (The Math Company),ashby,themathcompany,
# DEAD-404 MediBuddy,ashby,medibuddy,
# DEAD-404 Mensa Brands,ashby,mensabrands,
Meraki Labs,ashby,Meraki-Labs,
# DEAD-404 Mihup,ashby,mihup,
# DEAD-404 Mobikwik,ashby,mobikwik,
# DEAD-404 Moj (ShareChat),ashby,moj,
Nanonets,ashby,nanonets,
Neural Concept,ashby,neuralconcept,
# DEAD-404 Nira Finance,ashby,nira-finance,
# DEAD-404 Nucleus Software,ashby,nucleussoftware,
# DEAD-404 Observe.AI,ashby,observeai,
# DEAD-404 OkCredit,ashby,okcredit,
# DEAD-404 Ola,ashby,olacabs,logistics/commerce
# DEAD-404 OneCode,ashby,onecode,
# DEAD-404 OYO Rooms,ashby,oyorooms,
# DEAD-404 Paperflite,ashby,paperflite,
Parspec,ashby,parspec,
Pear VC portfolio,ashby,pear-vc,
# DEAD-404 Pepper Content,ashby,peppercontent,
# DEAD-404 Pepperfry,ashby,pepperfry,logistics/commerce
# DEAD-404 Physics Wallah,ashby,physicswallah,
# DEAD-404 Pixxel,ashby,pixxel,
# DEAD-404 Pocket FM,ashby,pocketfm,
# DEAD-404 Pratilipi,ashby,pratilipi,
# DEAD-404 Quantiphi,ashby,quantiphi,
# DEAD-404 Recykal,ashby,recykal,
# DEAD-404 Rupeek,ashby,rupeek,
# DEAD-404 Sahamati,ashby,sahamati,
Sarvam AI,ashby,sarvam,
# DEAD-404 ShareChat,ashby,sharechat,
Skylo,ashby,skylo,
# DEAD-404 Skyroot Aerospace,ashby,skyroot,
# DEAD-404 Slice,ashby,sliceit,
# DEAD-404 Slintel (6sense India),ashby,slintel,
# DEAD-404 Smallcase,ashby,smallcase,
# DEAD-404 Sprinto,ashby,sprinto,
# DEAD-404 Stanza Living,ashby,stanzaliving,
# DEAD-404 Stashfin,ashby,stashfin,
# DEAD-404 Subex,ashby,subex,
# DEAD-404 Sugar Cosmetics,ashby,sugarcosmetics,
Supa,ashby,supa,
# DEAD-404 Suprsend,ashby,suprsend,
# DEAD-404 Tata Digital,ashby,tatadigital,
# DEAD-404 Toplyne,ashby,toplyne,
# DEAD-404 Turtlemint,ashby,turtlemint,
# DEAD-404 Udaan,ashby,udaan,logistics/commerce
# DEAD-404 Unacademy (Graphy),ashby,graphy,
# DEAD-404 Upstox,ashby,upstox,
# DEAD-404 Verse Innovation (DailyHunt),ashby,verseinnovation,
# DEAD-404 Vokal,ashby,vokal,
# DEAD-404 Wakefit,ashby,wakefit,
# DEAD-404 Waycool,ashby,waycool,logistics/commerce
# DEAD-404 WNS Global Services,ashby,wns,
# DEAD-404 Yellow.ai,ashby,yellowai,
# DEAD-404 Yulu,ashby,yulu,logistics/commerce
# DEAD-404 Zeta Suite,ashby,zeta,
# DEAD-404 Zomato,ashby,zomato,logistics/commerce
# DEAD-404 ZS Associates India,ashby,zs-associates,
#
# ===== ORACLE =====
Oracle,oracle,CX_1,eeho.fa.us2.oraclecloud.com
#
# ===== CUSTOM CAREERS PAGES (no ATS) =====
# Token = the full careers page URL. Tenant stays blank.
# These pages carry no posting date, so they are dated by first sighting:
# a role is reported the first scan it appears in, then never again.
# They also carry no job description, so they land in digest Section D.
MoveInSync,custom,https://moveinsync.com/join-us,,verified
# Add more by pasting the careers URL. If a page renders jobs via JavaScript
# the plain GET returns nothing - that row will simply find zero roles.
Ultrahuman,custom,https://ultrahuman-talent.freshteam.com/jobs,,freshteam
# Freshteam (Freshworks' free ATS) is common among Indian startups and its
# pages are server-rendered, so the custom adapter handles them. Patterns:
#   https://{company}-talent.freshteam.com/jobs
#   https://{company}.freshteam.com/jobs
#
# ===== SMALL COMPANIES: FRESHTEAM =====
# Server-rendered, handled by the custom adapter. No posting dates.
Locus.sh,custom,https://locus.freshteam.com/jobs,,logistics/TMS
Digitap.ai,custom,https://digitap.freshteam.com/jobs,,fintech
Scapia,custom,https://scapia.freshteam.com/jobs,,fintech
Haptik,custom,https://haptik.freshteam.com/jobs,,conversational AI
Cyware,custom,https://cyware.freshteam.com/jobs,,cybersecurity
TravClan,custom,https://travclan.freshteam.com/jobs,,travel tech
Credit Saison India,custom,https://creditsaisonin-talent.freshteam.com/jobs,,fintech
Paxcom,custom,https://paxcom.freshteam.com/jobs,,ecommerce tech
HappyLocate,custom,https://happylocate.freshteam.com/jobs,,relocation/logistics
VIDA,custom,https://vida.freshteam.com/jobs,,mobility
NxtWave,custom,https://nxtwave.freshteam.com/jobs,,edtech
Codvo,custom,https://codvo-team.freshteam.com/jobs,,services
ECS ME,custom,https://ecsme.freshteam.com/jobs,,services
Acceleration Robotics,custom,https://accelerationrobotics.freshteam.com/jobs,,robotics
#
# ===== SMALL COMPANIES: KEKA =====
# These DO publish "N days ago", which the adapter converts to a real date,
# so the 2-day window applies to them normally.
Bebetta,custom,https://bebetta.keka.com/careers/,,consumer
GoKwik,custom,https://gokwik.keka.com/careers/,,ecommerce/payments
Valeo Health,custom,https://valeohealth.keka.com/careers/,,health tech
India Health Link,custom,https://ihl.keka.com/careers/,,health tech
PopClub,custom,https://popclub.keka.com/careers/,,consumer
#
# Find more small companies with these searches:
#   site:freshteam.com jobs backend engineer Bangalore
#   site:keka.com careers software engineer India
#   site:zohorecruit.com jobs India developer
# Skip anything whose board is a staffing or recruitment firm posting client
# roles: getinz, hirefly, remotestar, moolya, people10 and similar.
#
# ===== RECRUITMENT CONSULTANCIES (client not named) =====
# ATS type "agency" routes these to digest Section E, separate from employers.
# They are not scored, because a generic JD cannot be matched against a stack.
Getinz,agency,https://getinz-people.freshteam.com/jobs,,
Hirefly,agency,https://hirefly.freshteam.com/jobs,,
RemoteStar,agency,https://remotestar-team.freshteam.com/jobs,,
Gloroots,agency,https://gloroots.freshteam.com/jobs,,
NextWave Consulting,agency,https://nxwave.freshteam.com/jobs,,
People10,agency,https://people10.freshteam.com/jobs,,
#
# ===== WORKDAY =====
# Token = site name. Tenant = host prefix INCLUDING the wd number.
# Read both off the careers URL:
#   https://cisco.wd5.myworkdayjobs.com/en-US/Cisco_Careers/...
#                ^tenant = cisco.wd5        ^token = Cisco_Careers
Cisco,workday,Cisco_Careers,cisco.wd5,
Intel,workday,External,intel.wd1,
NVIDIA,workday,NVIDIAExternalCareerSite,nvidia.wd5,
Salesforce,workday,External_Career_Site,salesforce.wd12,
Thomson Reuters,workday,External_Career_Site,thomsonreuters.wd5,
F5,workday,f5jobs,ffive.wd5,
PTC,workday,PTC,ptc.wd1,
Agilent,workday,Agilent_Careers,agilent.wd5,
AVEVA,workday,AVEVA_careers,aveva.wd3,
Silicon Labs,workday,SiliconLabsCareers,silabs.wd1,
Kyndryl,workday,KyndrylProfessionalCareers,kyndryl.wd5,
Lloyds Technology Centre,workday,Lloyds_Technology_Centre,lbg.wd3,
Carelon Global Solutions,workday,carelonglobal_in,elevancehealth.wd1,
Assurant,workday,Assurant_Careers,assurant.wd1,
R1 RCM,workday,R1RCM,r1rcm.wd1,
Astreya,workday,life-at-astreya-opportunities,astreya.wd5,
# More: open any company's careers page, read tenant and site off the URL.
# Adobe, Intuit, Visa, Mastercard, Walmart Global Tech, Target India,
# JPMorgan and Goldman all run Workday with large India engineering centres.
